,url,prize,photographer,year
1764,https://www.worldpressphoto.org/collection/photo-contest/2003/paolo-porto/1,"Singles, 3rd prize",Paolo Porto,2003
1765,https://www.worldpressphoto.org/collection/photo-contest/2003/emanuele-scorcelletti/1,"Singles, 2nd prize",Emanuele Scorcelletti,2003
1766,https://www.worldpressphoto.org/collection/photo-contest/2003/dan-winters/1,"Singles, 1st prize",Dan Winters,2003
1767,https://www.worldpressphoto.org/collection/photo-contest/2003/heidi-bradner/1,"Stories, 3rd prize",Heidi Bradner,2003
1768,https://www.worldpressphoto.org/collection/photo-contest/2003/jan-grarup/1,"Singles, 2nd prize",Jan Grarup,2003
1769,https://www.worldpressphoto.org/collection/photo-contest/2003/olivier-mirguet/1,"Stories, 2nd prize",Olivier Mirguet,2003
1770,https://www.worldpressphoto.org/collection/photo-contest/2003/carolyn-cole/1,"Stories, 1st prize",Carolyn Cole,2003
1771,https://www.worldpressphoto.org/collection/photo-contest/2003/hector-emanuel/1,"Stories, 3rd prize",Hector Emanuel,2003
1772,https://www.worldpressphoto.org/collection/photo-contest/2003/ilkka-uimonen/1,"Stories, 2nd prize",Ilkka Uimonen,2003
1773,https://www.worldpressphoto.org/collection/photo-contest/2003/georges-gobet/1,"Stories, 1st prize",Georges Gobet,2003
1774,https://www.worldpressphoto.org/collection/photo-contest/2003/justin-sutcliffe/1,"Singles, 3rd prize",Justin Sutcliffe,2003
1775,https://www.worldpressphoto.org/collection/photo-contest/2003/noel-patrick-quidu/1,"Singles, 2nd prize",Noël Patrick Quidu,2003
1776,https://www.worldpressphoto.org/collection/photo-contest/2003/tomohisa-kato/1,"Singles, 1st prize",Tomohisa Kato,2003
1777,https://www.worldpressphoto.org/collection/photo-contest/2003/andrew-buurman/1,"Stories, 3rd prize",Andrew Buurman,2003
1778,https://www.worldpressphoto.org/collection/photo-contest/2003/balazs-gardi/1,"Stories, 1st prize",Balazs Gardi,2003
1779,https://www.worldpressphoto.org/collection/photo-contest/2003/david-burnett/1,"Singles, 3rd prize",David Burnett,2003
1780,https://www.worldpressphoto.org/collection/photo-contest/2003/tim-clayton/1,"Singles, 2nd prize",Tim Clayton,2003
1781,https://www.worldpressphoto.org/collection/photo-contest/2003/robert-boguslawski-tomasz-gudzowaty-sp/1,"Singles, 1st prize", Robert Boguslawski & Tomasz Gudzowaty,2003
1782,https://www.worldpressphoto.org/collection/photo-contest/2003/witold-krassowski/1,"Stories, 3rd prize",Witold Krassowski,2003
1783,https://www.worldpressphoto.org/collection/photo-contest/2003/david-i-gross/1,"Stories, 2nd prize",David I. Gross,2003
