initial index,Path,Colors_RGB
295,F:\Temp\1966\Eddie Adams\1.jpg,"[[53, 53, 53], [187, 187, 187], [96, 96, 96], [232, 232, 232], [142, 142, 142]]"
296,F:\Temp\1967\Fred Ihrt\5.jpg,"[[105, 105, 105], [197, 197, 197], [64, 64, 64], [246, 246, 246], [147, 147, 147]]"
297,F:\Temp\1967\Fred Ihrt\7.jpg,"[[71, 71, 71], [157, 157, 157], [33, 33, 33], [225, 225, 225], [112, 112, 112]]"
298,F:\Temp\1967\Peter Skingley\1.jpg,"[[168, 168, 168], [230, 230, 230], [119, 119, 119], [204, 204, 204], [44, 44, 44]]"
299,F:\Temp\1967\Thomas Hoepker\3.jpg,"[[27, 27, 27], [123, 123, 123], [235, 235, 235], [72, 72, 72], [167, 167, 167]]"
300,F:\Temp\1967\Eli J. Bottomley\1.jpg,"[[171, 171, 171], [71, 71, 71], [100, 100, 100], [41, 41, 41], [133, 133, 133]]"
301,F:\Temp\1967\Fred Ihrt\2.jpg,"[[244, 244, 244], [81, 81, 81], [195, 195, 195], [32, 32, 32], [133, 133, 133]]"
302,F:\Temp\1967\Fred Ihrt\6.jpg,"[[118, 118, 118], [72, 72, 72], [173, 173, 173], [235, 235, 235], [30, 30, 30]]"
303,F:\Temp\1967\Peter Elinskas\1.jpg,"[[32, 32, 32], [207, 207, 207], [110, 110, 110], [158, 158, 158], [70, 70, 70]]"
304,F:\Temp\1967\Fred Ihrt\3.jpg,"[[34, 34, 34], [159, 159, 159], [83, 83, 83], [199, 199, 199], [117, 117, 117]]"
305,F:\Temp\1967\Peter Skingley\1.jpg,"[[168, 168, 168], [230, 230, 230], [119, 119, 119], [204, 204, 204], [44, 44, 44]]"
306,F:\Temp\1967\Hiromichi Mine\1.jpg,"[[155, 155, 155], [48, 48, 48], [194, 194, 194], [121, 121, 121], [88, 88, 88]]"
307,F:\Temp\1967\Co Rentmeester\1.jpg,"[[18, 28, 44], [85, 82, 79], [219, 198, 177], [54, 56, 60], [146, 132, 112]]"
308,F:\Temp\1967\Thomas Hoepker\5.jpg,"[[85, 85, 85], [188, 188, 188], [142, 142, 142], [38, 38, 38], [243, 243, 243]]"
309,F:\Temp\1967\Peter Elinskas\2.jpg,"[[169, 169, 169], [77, 77, 77], [49, 49, 49], [119, 119, 119], [213, 213, 213]]"
310,F:\Temp\1967\Roy Miller\1.jpg,"[[32, 32, 32], [175, 175, 175], [71, 71, 71], [224, 224, 224], [119, 119, 119]]"
311,F:\Temp\1967\Peter Skingley\2.jpg,"[[168, 168, 168], [230, 230, 230], [119, 119, 119], [204, 204, 204], [44, 44, 44]]"
